DataZone,InterZone,MMWard,Council,SPConst,CHP,HBCode
S01006862,S02001297,S13002504,S12000034,S16000078,S03000013,S08000020
S01006863,S02001297,S13002504,S12000034,S16000078,S03000013,S08000020
S01006864,S02001297,S13002504,S12000034,S16000078,S03000013,S08000020
S01006865,S02001298,S13002504,S12000034,S16000078,S03000013,S08000020
S01006866,S02001298,S13002504,S12000034,S16000078,S03000013,S08000020
S01006867,S02001298,S13002504,S12000034,S16000078,S03000013,S08000020
S01006868,S02001298,S13002504,S12000034,S16000078,S03000013,S08000020
S01006869,S02001299,S13002504,S12000034,S16000078,S03000013,S08000020
S01006870,S02001299,S13002503,S12000034,S16000078,S03000013,S08000020
S01006871,S02001299,S13002503,S12000034,S16000078,S03000013,S08000020
S01006872,S02001299,S13002504,S12000034,S16000078,S03000013,S08000020
S01006873,S02001299,S13002504,S12000034,S16000078,S03000013,S08000020
S01006874,S02001299,S13002503,S12000034,S16000078,S03000013,S08000020
S01006875,S02001300,S13002503,S12000034,S16000078,S03000013,S08000020
S01006876,S02001300,S13002503,S12000034,S16000078,S03000013,S08000020
S01006877,S02001300,S13002502,S12000034,S16000078,S03000013,S08000020
S01006878,S02001300,S13002502,S12000034,S16000078,S03000013,S08000020
S01006879,S02001300,S13002503,S12000034,S16000078,S03000013,S08000020
S01006880,S02001301,S13002501,S12000034,S16000078,S03000013,S08000020
S01006881,S02001301,S13002502,S12000034,S16000078,S03000013,S08000020
S01006882,S02001301,S13002502,S12000034,S16000078,S03000013,S08000020
S01006883,S02001301,S13002502,S12000034,S16000078,S03000013,S08000020
S01006884,S02001301,S13002502,S12000034,S16000078,S03000013,S08000020
S01006885,S02001301,S13002502,S12000034,S16000078,S03000013,S08000020
S01006886,S02001301,S13002502,S12000034,S16000078,S03000013,S08000020
S01006887,S02001301,S13002502,S12000034,S16000078,S03000013,S08000020
S01006888,S02001301,S13002498,S12000034,S16000078,S03000013,S08000020
S01006889,S02001302,S13002498,S12000034,S16000078,S03000013,S08000020
S01006890,S02001302,S13002498,S12000034,S16000078,S03000013,S08000020
S01006891,S02001302,S13002498,S12000034,S16000078,S03000013,S08000020
S01006892,S02001302,S13002498,S12000034,S16000078,S03000013,S08000020
S01006893,S02001302,S13002498,S12000034,S16000078,S03000013,S08000020
S01006894,S02001303,S13002499,S12000034,S16000077,S03000013,S08000020
S01006895,S02001303,S13002499,S12000034,S16000077,S03000013,S08000020
S01006896,S02001303,S13002499,S12000034,S16000077,S03000013,S08000020
S01006897,S02001303,S13002499,S12000034,S16000077,S03000013,S08000020
